"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"Base Year",
"Morocco","686","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-8114586881.4336","-8284115095.24298","-7180027632.43391","-6625452814.54123","-5070461133.34017","-2428753838.788","-3332901568.00383","-2317000000","-1522000000","-10327000000","-10808000000","-13833000000","-17119000000","-12243000000","-21680000000","-18900000000","-18520000000",,,"",
"Yemen, Rep. of","474","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-114397000000","-105773000000","-131929000000","-175709000000","-235531000000","-295555000000","-229593000000","-254067500000","-360982900000","-219391700000","-376175000000","-476930700000","-259107450998.817","-324080600000",,,,,,"",
"Sierra Leone","724","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-165955000000",,,,,,,,,,,,,,,,,,,"",
"Panama","283","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-838600000","-910100000","-565700000","-969700000","-1268900000","-1436500000","-1546000000","-1741200000","-2035600000","-1821600000","-2226600000","-2401300000","-3016200000",,,,,,,"",
"Rwanda","714","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-6000000000","-10000000000","-9000000000","-16000000000","-19000000000","-15000000000","-16000000000","-9000000000","-19000000000","-21000000000","-25000000000","-34000000000","-59000000000","-88000000000","-122000000000","-144000000000","-166000000000",,,"",
"Belize","339","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-128312255.292029","-163406370.362388","-165818193.655002","-193038940.832206","-248521152.053128","-245444900.937543","-263973382.406879","-30383052.6473099","-27541509.3254896","-28078778.7223504","-29088988.100727","-35417276.6263423","-281803732.828433","-281937419.652574","-321870674.196179",,,,,"",
"St. Lucia","362","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-120420000","-126857000","-98068904","-137259294","-186273953","-195776810","-147129985","-183536227","-194059173","-121931011","-106832259","-53590290","-95306201","-68693878","-56906591",,,,,"",
"Guyana","336","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","8022000000","9612000000","10485000000","8325000000","6320000000","4088000000","8792400000","7228020000","2984834619.86249","3417334479.08205","-2600705114.72549","1895202900","-4889000000","5874000000","5518000000","-5094000000",,,,"",
"Thailand","578","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-76874000","-85069000","-88632000","-111028000000","-126197000000","-173256000000","-316810000000","-311204000000","-357015000000","-352513000000","-434961000000","-378611630000","-529547000000","-799242000000","-651195000000","-576122000000","-716286000000",,,"",
"Grenada","328","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-91120000","-111900000","-128510900","-136330000","-176022120","-76361778","-77989080","-110948699","-115321614","-170219364","-107669609","-85786294","-92562153","-79916191","-58379585",,,,,"",
"Belarus, Rep. of","913","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-3770000","-6010000","-5400000","5150000","-4020000","11950000","-24610000","-88200000","-168320000","-311060000","-346290000","-339520000","-1225840000","-2355180000","-2417330000","-3810540000","-4477300000","-3972200000","-4421300000","",
"Czech Rep.","935","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","1606233000000","1705270000000","1717632000000","1828252000000","1993664000000","2107140000000","2297614000000","2480748000000","2612655000000","2478732000000","2557092000000","2681378000000","2780717000000","2815355000000","2915163000000","3071811000000","3227092000000","3434436000000","3724468000000","",
"Vanuatu","846","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-1784000000","-669000000","-1604000000","-1852000000","-2086000000","-2047000000","-2800000000","-2671000000","-4075000000","-3178000000","-2498000000","-1357000000","-1832000000","-2157000000","-3076000000",,,,,"",
"Seychelles","718","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-151500000",,,,,,,,,,,,,,,,,,,"",
"Japan","158","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","7524100000000","7971100000000","7313100000000","8139100000000","9789500000000","11362200000000","13798800000000","15962500000000","13644000000000","11964800000000","12925000000000","13920000000000","13257900000000","16892000000000","18493800000000","20409900000000","18021400000000","19458900000000","19950400000000","",
"Korea, Rep. of","542","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-4360200000000","-4784900000000","-2912500000000","-2921800000000","-1574500000000","-6762300000000","-2936800000000","-2762900000000","293200000000","-1867900000000","1975700000000","8597600000000","15058900000000","9565800000000","7564400000000","5186200000000","6363900000000","7482600000000","4955700000000","",
"Armenia, Rep. of","911","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-12611700000","-1475500000","-6561000000","-17788800000","57302200000","60652300000","89518200000","95232300000","144169300000","60300800000","126532600000","208056100000","253779900000","279592900000","225072300000","211676700000","107735400000","196644600000",,"",
"Nicaragua","278","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-2559705990.06151","-3230747471.12315","-2810360405.25921","-2994088429.31894","-3061557881.5161","-2510001581.11364","-4635100087.59427","-4120496593.2956","-4332215189.97861","-5187323397.50911","-5175279014.65313","-5695937077.15081","-6858875752.38453",,,,,,,"",
"Tonga","866","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","4257000","1321156.5","7411000","4063429.76","6116948.82446384","-169888.702144624","10399083.8916016","14376877.25","14255591.15","13357723.16","7634411.77","16422878.27","23342842.07",,,,,,,"",
"Montserrat","351","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-7270000","-1741000","-8260051","-3261310","-9208787","-7602710","-5162609","-10106247","-12009320","-9756114","-10275450","-9576473","-7940614","-5479628","-5695680",,,,,"",
"Zambia","754","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-511441882.375229","-504291688.279975","-628131853.664681","-684487666.67438","-1673314787.86667","-2697873374.04167","-4209190077.98","-6182158646.49627","-5237710424.99611",,,,,,,,,,,"",
"Antigua and Barbuda","311","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-120201000","-66928000","-111906142","-104479956","-121730361","-113508646","-126206983","-142202033","-164926949","-137214792","-85021415","-106571697","-137942653","-83466740","-106190478",,,,,"",
"Romania","968","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","55077000000","81079000000","92244000000","117049000000","146078000000","177827000000","213837000000","246891000000","320760000000","307735000000","318000000000","314047000000","320667000000","346536000000","372182000000","387278000000","421236000000","475173000000","539043000000","",
