"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"Base Year",
"Venezuela, Rep. Bolivariana de","299","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-947500000","-1576881000","-3382290000","-3483525000","-6735280000","-4730066000","-2306327000","4292498000","148097000","-6410668000","-13268287000","-36405071000","-47434676000","-78445766000","-29446033000","-181039960000","-257099413000",,,"",
"Algeria","612","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-175240300000","-123190100000","-174668830067.462","-189977609000","-253259900000","-336127400000","-321273200000","-123511000000","-83602800000","-88193000000","-6097300000","-127078800000","-168930100000","-298159800000","-361101400000","-387086000000","-119105900000","-236149800000",,"",
"Bhutan","514","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-22279897.74","-11190931.3250002","-390964664.87","-642580094.340494","-724054036.538244","-510186578.657927","-161096273.573676","-659800000","-1415310000","-2143140000","-4022680000","-5316030000","-7594320000","-6792690000","-8238390000",,,,,"",
"United Arab Emirates","466","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value",,"19772000000","3382999999.99998","-199999999.999989","2599999999.99997","10600000000","17400000000",,,,,,,,,,,,,"",
"Mongolia","948","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-5597466333.33317","-2205007726.82647","-4996394999.99979","-13185238750.0003","-13105641235.5662","-62420247985.0957","-50331288006.2358","-114163029555.358","-201986087042.292","-281572005411.112","1017319900000","1688760900000","1880609195951.83","2250070860825.34","2189565558476.8","1979031617172.99","2100076419316.01",,,"",
"Costa Rica","238","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-212097199220","-241120494020","-273896779860","-317304695690","-344653804720","-359954692610","-338804885510","-359534676820","-312696878860","-581340910280","-635529218180","-728241782500","-744585451240","-927473859700","-1155764866390","-1290984506410","-1351947267020","-1681501784450","-1922403808010","",
"Jamaica","343","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-14793200000","-20065797294.0229","-29914538755.4867","-32348950168.7084","-35642086360.6254","-42146814002.6756","-40428453535.122","-45477434068.8466","-41023207334.4836","-58731719602.1839","-43121318656.9439","-44536197943.3989","-19777543036.4378","-36633171752.8323","-40597486212.5453","-45862598759.7718",,,,"",
"Suriname","366","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-63300000","-232200000","-101900000","-127500000","-164700000","-49600000","-144000000","22000000","58000000","15000000","-285000000",,,,,,,,,"",
"Burkina Faso","748","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-14280000000","-17903000000","-14729000000","-21479000000","-16222000000","-22573000000","-1175000000","-1124000000","-1414000000","-35559000000","-116521000000","-186479000000","-112117000000",,,,,,,"",
"Uruguay","298","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-801000000","-907000000","1648000000","-13838000000","-16961000000","-12236000000","-10512000000","-12160000000","-18997000000","-23429000000","-30139000000","-31482000000","-31172000000","-38268000000","-46892000000","-40848560000","-38855980000",,,"",
"Kyrgyz Rep.","917","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-3847500000","-3139400000","-2825100000","-2616700000","-4210100000","-3320200000","-1393500000","-1985500000","-3710300000","-8187500000","-15701400000","-24541000000","-7951100000","-20069500000",,,,,,"",
"Lesotho, Kingdom of","666","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","3228637594.86291","3173693978.99341","3663554164.8356","3759873382.96732","3701978443.63466","3147908789.94537","2992029624.79466","2980212782.26109","3301199997.09658","3383932529.91901","3062846998.63271","4624034428.46075","4378442711.25066","3628770575.70897",,,,,,"",
"Mauritius","684","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-520000000","-499000000","-587000000","-1840000000","-868000000","-1180000000","-861000000","5579000000","2073000000","-1333000000","3602800000","2382480000","3667700000","261700000","-9087300000","28627172385.8032","30218878849.1945","36907855205.2715",,"",
"Fiji, Rep. of","819","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","120000000","166000000","191600000","183100000","136700000","246800000",,,,,,,,,,,,,,"",
"China, P.R.: Hong Kong","532","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","11444000000","31668000000","9780000000","33764000000","28606000000","7863000000","36155000000","53365000000","100802000000","50269000000","38710000000","54404000000","31321000000","42815000000","49236000000","47259000000","65829000000","118968000000","138809000000","",
"Ukraine","926","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-5128000000","-3580000000","-3225000000","-3097000000","-3427000000","-5041000000","-8694000000","-3325000000","-8700000000","-19039000000","-6062000000","-21824000000","-18555000000","-24928000000","-18143000000","8312000000","37703000000","68354000000","81626000000","",
"Dominican Rep.","243","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-17079431175","-18465767200","-21376448166.6667","-42456546081.9444","-76024090720.2376","-57390433415.6698","-60572799625.1114","-83661940855.7228","-73387881754.3034","-74262633604.8791","-73171957282.8398","-88327367095.5354","-96546688388.409","-126281250043.996",,,,,,"",
"China, P.R.: Macao","546","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value",,,,,,"-5585000000","-10576000000","1005000000","-15847000000","-14882000000","-23604000000","-38795000000","-49703000000","-63718000000","-61599000000","-27305000000","-27646000000","-30800000000",,"",
"New Zealand","196","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-6775000000","-6808000000","-6512000000","-6810000000","-6866000000","-8707000000","-10528000000","-11550000000","-13315000000","-13744000000","-7965000000","-10108000000","-9656000000","-9052000000","-9176000000","-9781000000","-8569000000","-8669000000","-10640000000","",
"San Marino, Rep. of","135","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-178310000","-229130000","-206280000",,,,,,,,,,,,,,,,,"",
"Mexico","273","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-136095082000","-124336369000","-123443072000","-139809784000","-131438794000","-199642776000","-163372076000","-193483818000","-174254871000","-204268907000","-158967439000","-232885784000","-305595448000","-473544359000","-405260416000","-458158240000","-530207048000","-540012525000",,"",
"Australia","193","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-19432000000","-20289000000","-21564000000","-23387000000","-30101000000","-36993000000","-43340000000","-49282000000","-44571000000","-48120000000","-53974000000","-53631000000","-39895000000","-40473000000","-36436000000","-39204000000","-37617000000","-52716000000",,"",
"Switzerland","146","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","559060000000","538902000000","508553000000","510585000000","525607000000","586615000000","621474000000","675286000000","640788000000","633162000000","677588000000","648818000000","682102000000","686980000000","727684000000","723200000000","729871000000","765692000000","767501000000","",
"Croatia, Rep. of","960","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value",,,"167144000000","184089000000","197442000000","208723000000","227066000000","255436000000","276881000000","275076000000","264754000000","264368000000","257727000000","258871000000","258405000000","262273000000","268371000000",,,"",
"Cyprus","423","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","10353000000","11665000000","10922000000","12000000000","13763000000","15481000000","17346000000","20099000000","27349000000","28295000000","30060000000","32578000000","29709000000","27900000000","28572000000","41183000000","26115000000","36433000000","34685000000","",
"Lithuania","946","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","9874000000","10384000000","11313000000","12004000000","14366000000","15876000000","19048000000","21318000000","25122000000","21508000000","21629000000","23135000000","24227000000","24525000000","25209000000","27101000000","29144000000","30583000000","32516000000","",
"Belgium","124","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","277287000000","290615000000","283426000000","280947000000","292510000000","314606000000","349051000000","390344000000","416196000000","372430000000","378036000000","385408000000","395248000000","392772000000","397180000000","395553000000","398797000000","406378000000","421660000000","",
"Spain","184","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","534950000000","582470000000","597775000000","620115000000","662197000000","732718000000","832486000000","947958000000","1002185000000","864744000000","872322000000","881653000000","837301000000","814712000000","808535000000","811758000000","829663000000","851724000000","883256000000","",
"Slovenia, Rep. of","961","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","14835000000","16709000000","18471000000","19899000000","20873000000","22177000000","23673000000","26645000000","29671000000","27705000000","28064000000","28299000000","27194000000","26891000000","27331000000","27772000000","28921000000","30505000000","32561000000","",
"Finland","172","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","116005000000","122665000000","122026000000","122366000000","128937000000","133547000000","146807000000","164772000000","175342000000","156406000000","156868000000","167234000000","171942000000","169314000000","172850000000","173843000000","178368000000","180406000000","187347000000","",
"Denmark","128","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","1373427000000","1443095000000","1439641000000","1478054000000","1567546000000","1668406000000","1841548000000","1964609000000","2094535000000","1936635000000","1836621000000","1907254000000","1848790000000","1937820000000","2001426000000","2043874000000","2110998000000","2132158000000","2190288000000","",
"Luxembourg","137","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","88435000000","102489000000","84464000000","84665000000","91948000000","119790000000","145956000000","191762000000","185048000000","126730000000","135157000000","178862000000","211536000000","239207000000","224116000000","239820000000","240316000000","245698000000","257952000000","",
"Greece","174","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","101562000000","96745000000","103265000000","106223000000","111832000000","118613000000","129678000000","152490000000","163644000000","147593000000","144639000000","142456000000","134169000000","115149000000","112810000000","114670000000","110686000000","110081000000","111748000000","",
"Latvia","941","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","4891000000","5322000000","5792000000","6674000000","7738000000","9869000000","12685000000","17453000000","19681000000","16094000000","13744000000","14149000000","15249000000","16005000000","16762000000","17706000000","18883000000","20336000000","22498000000","",
"Serbia, Rep. of","942","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value",,,,,,"1368909000000","1606721000000","1922542000000","2193676000000","2275509000000","2344864000000","2567202000000","2791753000000","2894536000000",,,"3029683000000","3152897000000",,"",
"Netherlands, The","138","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","531810000000","535601000000","532044000000","532305000000","568672000000","612892000000","678030000000","776948000000","780469000000","714539000000","775692000000","809234000000","786478000000","809177000000","847210000000","825598000000","836632000000","851023000000","893694000000","",
"Italy","136","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","1039428000000","1099952000000","1116950000000","1119408000000","1169392000000","1242884000000","1324074000000","1409124000000","1442580000000","1280031000000","1255888000000","1304353000000","1305157000000","1263537000000","1259942000000","1246426000000","1266743000000","1289505000000","1320993000000","",
"Estonia, Rep. of","939","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","4187000000","4781000000","5225000000","5851000000","6874000000","8476000000","11040000000","13216000000","14239000000","11312000000","10820000000","12962000000","13022000000","13607000000","14553000000","15386000000","16938000000","17822000000","18895000000","",
"Ireland","178","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","96163000000","105140000000","114535000000","118621000000","130111000000","151229000000","189279000000","224592000000","227001000000","165603000000","163534000000","163719000000","189087000000","187738000000","196732000000","203961000000","226369000000","238542000000","257562000000","",
"France","132","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","1486084000000","1598433000000","1608872000000","1630834000000","1692774000000","1790580000000","1951716000000","2136772000000","2243723000000","2053314000000","2019066000000","2114802000000","2102964000000","2075493000000","2103587000000","2146738000000","2153151000000","2186998000000","2255900000000","",
"Turkey","186","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value",,,,,,,,,,"684815000000","791740000000","958297000000","1082054000000","1294581000000","1512874000000","1767758000000","1995070000000","2383202000000",,"",
"Portugal","182","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","115745000000","123160000000","125763000000","127757000000","131910000000","140708000000","153783000000","169169000000","178516000000","156715000000","163748000000","162632000000","154855000000","151621000000","147297000000","146124000000","147758000000","151614000000","158952000000","",
"Austria","122","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","206216000000","209817000000","209331000000","210121000000","220038000000","235573000000","259628000000","283011000000","293016000000","270857000000","266691000000","280426000000","285189000000","270633000000","279224000000","274533000000","290414000000","294180000000","314782000000","",
"Slovak Rep.","936","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","23705000000","23672000000","24924000000","26826000000","29922000000","32433000000","35260000000","39637000000","43083000000","41125000000","42335000000","43761000000","44155000000","44785000000","46111000000","47683000000","49479000000","53711000000","56001000000","",
"United Kingdom","112","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","1201301000000","1232746000000","1222731000000","1276160000000","1394336000000","1537684000000","1730079000000","1944922000000","1980600000000","1592743000000","1601997000000","1663658000000","1657268000000","1697065000000","1749703000000","1781066000000","1812191000000","1903381000000","2024879000000","",
"Germany","134","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","2148036000000","2243291000000","2178724000000","2178161000000","2199166000000","2235032000000","2360765000000","2513559000000","2540159000000","2423602000000","2421474000000","2551541000000","2577922000000","2561834000000","2602329000000","2668373000000","2745800000000","2827862000000","2928949000000","",
"United States","111","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","35024500000","48749500000","45243250000","58359750000","78184500000","77955750000","50449250000","109024000000","154608000000","141937500000","195720250000","236378500000","232300750000","230732750000","241062500000","224625750000","218167500000","243296000000","267900500000","",
